Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,77.9,-117.3,180,top
C3,0.1uF,C_0603_1608Metric,75.3,-109.275,0,top
C4,0.1uF,C_0603_1608Metric,60.4,-110.675,-90,top
C5,1uF,C_0603_1608Metric,70.8,-112.575,-90,top
C6,0.1uF,C_0603_1608Metric,70.6,-114.7,0,top
C7,0.1uF,C_0603_1608Metric,72.3,-109.275,0,top
C8,0.1uF,C_0603_1608Metric,67.5,-114.375,180,top
C9,0.1uF,C_0603_1608Metric,67.2,-103.575,180,top
C10,0.1uF,C_0603_1608Metric,63.7,-103.575,180,top
C11,0.1uF,C_0603_1608Metric,58.7,-110.225,-90,top
C12,0.1uF,C_0603_1608Metric,64.5,-114.375,0,top
C14,10uF,C_0603_1608Metric,80.9,-116.7,90,top
C15,150u,C_1206_3216Metric,56,-127.3,0,top
C16,10p,C_0603_1608Metric,60.2,-105.375,-90,top
C17,10p,C_0603_1608Metric,56.2,-109.625,-90,top
C18,1uF,C_0603_1608Metric,79.5,-108.1,90,top
C19,1uF,C_0603_1608Metric,78.2,-125.7,0,top
C20,1uF,C_0603_1608Metric,79.4,-104.6,-90,top
D1,LED,LED_0805_2012Metric,58.9,-113.4,180,top
FB1,FerriteBead,L_0805_2012Metric,56,-129.6,180,top
J1,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401548E4-2A,87.6,-119,90,top
J4,jlink,PinHeader_2x05_P1.27mm_Vertical_SMD,81.1,-130.3,180,top
P1,DFP,jingtuojin_918-118A2021Y40005,56,-119,-90,top
R1,5.1k,R_0603_1608Metric,83.2,-125.2,0,top
R2,5.1k,R_0603_1608Metric,86.3,-112.1,90,top
R3,27,R_0603_1608Metric,73.9,-112.4,90,top
R4,27,R_0603_1608Metric,72.4,-112.4,90,top
R8,56k,R_0603_1608Metric,55.9,-124.8,0,top
R9,56k,R_0603_1608Metric,54.4,-112.9,90,top
R10,100k,R_0603_1608Metric,82.8,-133.6,180,top
R14,100k,R_0603_1608Metric,70.4,-103.7,180,top
R15,1k,R_0603_1608Metric,55.9,-112.8,90,top
R16,100k,R_0603_1608Metric,67.5,-121.4,-90,top
R22,5.1k,R_0603_1608Metric,74.8,-133.2,-90,top
R23,5.1k,R_0603_1608Metric,55.6,-133.725,-90,top
SW1,SW_SPDT,SW_SPDT_PCM12,60.8,-133.525,0,top
SW3,SW_SPDT,SW_SPDT_PCM12,69.6,-133.5,0,top
SW4,SW_Push,SW_SPST_B3U-1000P,82.9,-104.6,180,top
U1,FE1.1s,QSOP-16_3.9x4.9mm_P0.635mm,72.2,-119,0,top
U2,W25Q32JVZP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,75.3,-105.575,0,top
U3,74LVC1G3157,SOT-363_SC-70-6,63.7,-126,0,top
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,65.7,-108.875,-90,top
U5,XC6206PxxxMR,SOT-23-3,82.4,-108.3,0,top
U6,TXB0104RUT,Texas_R-PUQFN-N12,69.1,-127.3,0,top
U9,SRV05-4,SOT-23-6,78.8,-119.9,0,top
U10,SRV05-4,SOT-23-6,64.7,-119,180,top
U11,~,UQFN-16_1.8x2.6mm_P0.4mm,74.5,-128.1,0,top
U14,~,UQFN-16_1.8x2.6mm_P0.4mm,60.09,-121.7,180,top
U17,~,UQFN-16_1.8x2.6mm_P0.4mm,59.85,-128.975,0,top
Y1,12MHz 10ppm,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.2,-113.4,0,top
Y2,12MHz 10ppm,Crystal_SMD_3225-4Pin_3.2x2.5mm,57.2,-106.375,0,top
